"","","","Category","Total Unique Visitors (000)","% Reach","% Composition Unique Visitors","Composition Index UV","Composition Index PV","Average Daily Visitors (000)","Total Minutes (MM)","Total Pages Viewed (MM)","Total Visits (000)","Average Minutes per Visit","Average Visits per Visitor"
"","[G](u)","                    Comcast SportsNet Chicago","Sports","895.112","0.399","100","100","100","58.721","4.159","5.208","1862.725","2.233","2.081"
"","[SG]","                        IHSA.ORG*","Education","167.926","0.075","100","100","100","9.28","1.588","2.73","315.22","5.038","1.877"
"","[G](u)","                    Universal Sports","Sports","851.492","0.379","100","100","100","70.152","6.381","12.444","3366.155","1.896","3.953"
"","[SG](U)","                        LETSRUN.COM","Sports","333.087","0.148","100","100","100","25.967","1.559","4.29","1281.438","1.217","3.847"
"","[SG](U)","                        IRONMAN.COM","Sports","213.306","0.095","100","100","100","23.947","3.35","5.423","1305.499","2.566","6.12"
"","[SG]","                        USASWIMMING.ORG","Sports","146.187","0.065","100","100","100","11.19","0.855","1.341","355.304","2.407","2.43"
"","[SG]","                        UNIVERSALSPORTS.COM","Sports","39.98","0.018","100","100","","","","","","",""
"","[SG]","                        USAGYM.ORG","Sports","39.321","0.018","100","100","100","2.35","0.223","0.384","86.709","2.577","2.205"
"","[G](U)","                    Comcast SportsNet New England","Sports","700.262","0.312","100","100","100","49.375","2.361","2.149","1561.82","1.512","2.23"
"","[G](u)","                    Comcast SportsNet Philly","Sports","557.93","0.249","100","100","100","46.44","3.591","7.413","1893.361","1.897","3.394"
"","[SG](u)","                        CSNPHILLY.COM*","Sports","523.829","0.233","100","100","100","42.614","3.358","6.88","1747.831","1.921","3.337"
"","[SG]","                        THE700LEVEL.COM","Social Media, Social Media - Blogs","36.163","0.016","100","100","","","","","","",""
"","[G](U)","                    Comcast SportsNet Bay Area","Sports","522.694","0.233","100","100","100","39.838","3.127","3.64","1448.905","2.158","2.772"
"","[G]","                    FANDUEL.COM","Sports","416.143","0.185","100","100","100","45.51","14.09","18.747","2214.689","6.362","5.322"
"","[G](U)","                    Comcast SportsNet Washington DC","Sports","329.718","0.147","100","100","100","38.471","1.69","1.279","1618.098","1.044","4.908"
"","[SG](U)","                        CSNWASHINGTON.COM","Sports","300.603","0.134","100","100","100","34.352","1.522","1.103","1348.693","1.128","4.487"
"","[G](U)","                    SNY.TV Blog Network","Sports","294.259","0.131","100","100","100","83.404","3.405","4.344","9632.12","0.353","32.733"
"","[SG]","                        ZAGSBLOG.COM","Sports","42.1","0.019","100","100","","","","","","",""
"","[G](u)","                    Comcast SportsNet Baltimore","Sports","278.931","0.124","100","100","100","18.854","0.608","0.78","679.393","0.895","2.436"
"","[SG](U)","                        CSNBALTIMORE.COM","Sports","258.29","0.115","100","100","100","16.836","0.553","0.622","616.656","0.897","2.387"
"","[G]","                    COMCASTSPORTSNET.COM","Corporate Presence","206.489","0.092","100","100","100","30.016","0.857","1.359","1248.442","0.687","6.046"
"","[G]","                    Comcast SportsNet Houston","Sports","205.85","0.092","100","100","100","10.119","3.668","3.003","305.726","11.997","1.485"
"","[SG]","                        CSNHOUSTON.COM","Sports","205.85","0.092","100","100","100","10.119","3.668","3.003","305.726","11.997","1.485"
"","[G]","                    TWINSPIRES.COM","Sports","165.688","0.074","100","100","100","14.038","5.001","7.273","622.163","8.038","3.755"
"","[G]","                    VERSUS.COM","Entertainment - TV, Entertainment","89.632","0.04","100","100","100","3.391","0.189","0.157","108.44","1.744","1.21"
"","[G]","                    STATFOX.COM","Gambling","75.127","0.033","100","100","100","14.077","1.262","1.66","620.351","2.034","8.257"
"","[G]","                    CHURCHILLDOWNS.COM","Sports","31.346","0.014","100","100","","","","","","",""
"","[G]","                    KENTUCKYDERBY.COM","Sports","11.448","0.005","100","100","","","","","","",""
"","[G]","                    Allisports","Sports","1.181","0.001","100","100","","","","","","",""
"","[SG]","                        ALLISPORTS.COM","Sports","1.181","0.001","100","100","","","","","","",""
"","[S](U)","                GRINDTV.COM","Sports","11788.832","5.252","100","100","100","728.001","31.941","26.093","22391.145","1.426","1.899"
"","[S](U)","                THEPOSTGAME.COM","Social Media, Social Media - Blogs","8080.032","3.599","100","100","100","384.618","16","14.02","11698.451","1.368","1.448"
"","[S](U)","                Rivals","Sports","2879.059","1.283","100","100","100","518.976","153.608","157.624","27179.509","5.652","9.44"
"","[G](U)","                    RIVALS.COM*","Sports","2733.942","1.218","100","100","100","500.833","145.574","139.968","25882.626","5.624","9.467"
"","[G](U)","                    Rivals High","Sports","203.507","0.091","100","100","100","40.108","4.791","10.197","1854.503","2.584","9.113"
"","[S](u)","                Yahoo UK & Ireland Sport-Eurosport","Sports","342.517","0.153","100","100","100","29.578","4.769","4.824","1555.214","3.067","4.541"
"","[S](U)","                Yahoo Canada Sports","Sports","264.177","0.118","100","100","100","65.917","2.746","3.085","2172.605","1.264","8.224"
"","[S](U)","                Yahoo Mexico Sports","Sports","157.051","0.07","100","100","100","31.238","3.372","2.695","1041.628","3.237","6.632"
"","[S](U)","                Yahoo Voices Sports & Recreation","Sports","148.826","0.066","100","100","100","7.584","0.161","0.269","227.53","0.708","1.529"
"","[S](U)","                Yahoo Cricket","Sports","132.983","0.059","100","100","100","38.487","6.481","4.475","1440.114","4.501","10.829"
"","[S](U)","                Yahoo Philippines Sports","Sports","87.641","0.039","100","100","100","13.064","0.735","0.632","430.616","1.707","4.913"
"","[S]","                Yahoo Spain Sport-Eurosport","Sports","67.587","0.03","100","100","","","","","","",""
"","[S](U)","                Yahoo France Sport","Sports","65.651","0.029","100","100","100","14.573","2.253","1.583","499.158","4.514","7.603"
"","[S]","                Yahoo New Zealand Sport","Sports","12.916","0.006","100","100","","","","","","",""
"","[C](U)","            Yahoo Lifestyle Network","Lifestyles","29400.069","13.097","100","100","100","4500.167","285.986","267.712","151729.116","1.885","5.161"
"","[S](U)","                Shine","Lifestyles","26571.077","11.837","100","100","100","4166.243","255.264","230.659","139518.077","1.83","5.251"
"","[G](u)","                    The Ellen Degeneres Show","Entertainment, Entertainment - TV","2323.435","1.035","100","100","100","174.17","21.098","16.009","5371.771","3.928","2.312"
"","[G](U)","                    Yahoo Voices Lifestyle","Lifestyles","1818.756","0.81","100","100","100","99.23","3.086","3.679","3071.545","1.005","1.689"
